Model,MDO4104-3
Firmware Version,3.18

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.2,
Horizontal Delay,1.82,
Sample Interval,2e-05,
Record Length,100000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,20,0.02
Vertical Position,-0.18,-0.74
,,
,,
,,
Label,,
TIME,CH1,CH3
8.264000e-01,-0.53125,-0.00263125
8.264200e-01,-0.5375,-0.00326563
8.264400e-01,-0.546875,-0.0062875
8.264600e-01,-0.51875,-0.00337187
8.264800e-01,-0.5125,-0.00450625
8.265000e-01,-0.521875,-0.00185937
8.265200e-01,-0.5125,-0.00239687
8.265400e-01,-0.534375,-0.00598125
8.265600e-01,-0.521875,-0.00429375
8.265800e-01,-0.546875,-0.004625
8.266000e-01,-0.496875,-0.00255
8.266200e-01,-0.48125,-0.00245937
8.266400e-01,-0.51875,-0.00394375
8.266600e-01,-0.525,-0.00523125
8.266800e-01,-0.521875,-0.003175
8.267000e-01,-0.490625,-0.00274375
8.267200e-01,-0.53125,-0.00336875
8.267400e-01,-0.565625,-0.0030375
8.267600e-01,-0.53125,-0.00615312
8.267800e-01,-0.49375,-0.00315312
8.268000e-01,-0.5375,-0.00354375
8.268200e-01,-0.509375,-0.0041625
8.268400e-01,-0.50625,-0.00138125
8.268600e-01,-0.534375,-0.00726563
8.268800e-01,-0.496875,-0.00299063
8.269000e-01,-0.496875,-0.00406562
8.269200e-01,-0.521875,-0.00362812
8.269400e-01,-0.5,-0.00186562
8.269600e-01,-0.521875,-0.00730313
8.269800e-01,-0.525,-0.00223438
8.270000e-01,-0.49375,-0.00414375
8.270200e-01,-0.45625,-0.00230937
8.270400e-01,-0.484375,-0.00159688
8.270600e-01,-0.484375,-0.00653438
8.270800e-01,-0.459375,-0.00320625
8.271000e-01,-0.540625,-0.00611875
8.271200e-01,-0.51875,-0.003025
8.271400e-01,-0.509375,-0.00211562
8.271600e-01,-0.51875,-0.00575625
8.271800e-01,-0.484375,-0.00323125
